id,male,age,education,party,dealdebt,tea
828,1,68,4,1,3,0
829,1,59,2,3,1,1
830,0,66,2,3,1,0
831,1,58,3,2,1,1
832,0,21,2,2,1,0
833,0,47,4,1,3,0
834,0,66,1,2,1,1
835,0,19,2,2,2,0
836,1,18,2,2,1,0
837,0,48,3,1,3,0
838,1,30,1,1,1,0
839,1,72,3,1,2,0
840,1,53,2,1,1,0
841,0,43,1,1,3,0
842,0,76,4,2,1,1
843,1,73,4,2,2,0
844,1,27,4,1,1,0
845,1,21,3,3,1,1
846,1,58,3,1,1,0
847,1,65,4,1,3,0
848,1,34,3,3,1,0
849,1,19,1,1,1,0
850,1,60,1,1,1,0
851,0,46,4,2,1,0
852,0,20,3,2,1,0
853,0,63,4,3,1,1
854,0,74,3,1,3,0
855,0,77,2,3,3,0
856,0,52,2,1,1,0
857,1,20,3,2,1,1
858,0,46,2,3,1,1
859,1,51,2,3,1,1
860,0,53,2,2,3,0
861,1,84,2,1,3,1
862,0,54,4,1,3,0
863,1,66,3,2,1,0
864,1,48,3,1,1,0
865,1,46,2,2,1,0
866,1,68,2,3,3,0
867,1,71,2,2,3,0
868,1,39,3,1,3,0
869,1,44,4,2,3,0
870,1,37,4,3,3,0
871,1,49,4,1,3,0
872,1,33,3,1,3,0
873,1,57,4,2,1,1
874,0,52,4,1,3,0
875,1,51,3,3,1,0
876,0,60,2,1,3,0
877,0,39,2,2,1,0
878,0,77,2,1,3,0
879,1,43,2,3,1,1
880,1,62,3,2,1,1
881,1,56,2,1,3,0
882,0,38,3,2,1,1
883,1,22,2,3,3,0
884,0,31,2,1,1,0
885,1,81,2,1,3,0
886,0,50,3,2,1,0
887,1,42,3,2,1,0
888,0,32,4,3,1,0
889,0,61,2,2,3,0
890,1,67,3,1,3,0
891,1,58,4,2,3,0
892,0,49,4,3,1,1
893,0,60,4,1,3,0
894,0,40,2,2,1,0
895,1,73,3,2,1,0
896,1,45,4,1,1,0
897,1,55,3,3,1,1
898,0,27,3,2,3,0
899,0,23,3,2,1,0
900,0,68,2,3,1,1
901,0,47,4,2,1,0
902,1,19,2,1,1,0
903,0,56,2,1,3,0
904,0,80,4,3,1,1
905,0,60,4,1,3,0
906,0,20,1,3,1,1
907,1,47,3,3,1,1
908,1,34,2,2,1,0
909,0,39,3,2,1,0
910,0,35,3,3,2,0
911,1,50,3,3,1,0
912,0,28,4,2,1,0
913,0,61,1,2,3,0
914,0,26,3,3,1,0
915,1,69,3,2,3,0
916,0,55,2,1,1,0
917,1,62,2,3,1,1
918,1,57,4,2,1,0
919,0,54,4,1,2,0
920,1,55,2,1,1,0
921,1,57,3,1,3,0
922,0,59,4,1,3,0
923,0,19,2,2,1,0
924,0,67,1,1,1,0
925,1,19,1,1,1,0
926,1,59,4,2,3,0
927,0,55,2,2,1,1
928,0,53,2,2,1,1
929,1,24,3,1,1,0
930,1,62,2,2,1,1
931,0,42,4,3,1,1
932,1,67,4,1,1,0
933,0,59,3,3,1,1
934,0,57,4,2,3,0
935,1,19,3,2,2,0
936,1,30,4,2,1,0
937,0,68,2,3,1,1
938,1,19,3,2,3,1
939,1,53,4,1,3,0
940,0,44,4,2,3,0
941,1,76,4,2,1,1
942,1,73,3,3,1,1
943,0,64,2,2,1,0
944,0,58,2,2,1,0
945,1,33,3,2,1,0
946,1,31,3,3,1,1
947,1,54,4,2,1,0
948,1,50,4,2,1,0
949,0,59,3,2,1,0
950,0,48,3,1,3,0
951,0,54,3,1,3,0
952,1,61,3,2,1,1
953,0,57,4,2,1,0
954,1,57,4,2,3,1
955,1,44,4,2,2,0
956,0,69,3,2,3,0
957,0,90,2,2,3,1
958,0,47,4,3,1,0
959,1,31,4,1,1,0
960,0,54,4,2,1,1
961,0,24,4,3,1,0
962,0,34,4,1,3,0
963,0,37,4,1,3,0
964,1,37,4,2,3,0
965,0,59,4,3,3,1
966,0,38,2,2,1,0
967,1,56,3,2,3,0
968,1,70,4,2,3,0
969,0,64,4,2,3,0
970,1,78,3,3,1,1
971,1,33,4,1,3,0
972,1,65,4,1,3,0
973,0,63,2,2,1,1
974,0,55,4,2,3,0
975,0,28,4,3,1,0
976,0,76,4,2,3,0
977,0,34,4,1,3,0
978,1,45,2,2,1,1
979,0,69,3,1,1,0
980,1,49,4,2,3,0
981,1,21,3,1,3,1
982,1,46,4,1,3,0
983,1,31,3,1,1,0
984,0,54,3,1,1,0
985,0,73,3,2,3,0
986,1,59,2,2,1,1
987,0,52,3,2,3,0
988,0,59,4,2,3,0
989,1,40,4,2,3,0
990,0,41,3,3,3,1
